reference_number,category,expected_title,observed_title,doi,proposed_or_unverified_doi,title_overlap,verification_status,verification_source,query_status,formatted_reference
1,Geneformer original paper,Transfer learning enables predictions in network biology,Transfer learning enables predictions in network biology,10.1038/s41586-023-06139-9,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Theodoris CV, Xiao L, Chopra A, Chaffin MD, Al Sayed ZR, Hill MC, et al.. Transfer learning enables predictions in network biology. Nature. 2023;618(7965):616-624. doi:10.1038/s41586-023-06139-9."
2,GSE72056 melanoma scRNA-seq paper,Dissecting the multicellular ecosystem of metastatic melanoma by single-cell RNA-seq,Dissecting the multicellular ecosystem of metastatic melanoma by single-cell RNA-seq,10.1126/science.aad0501,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Tirosh I, Izar B, Prakadan SM, Wadsworth MH, Treacy D, Trombetta JJ, et al.. Dissecting the multicellular ecosystem of metastatic melanoma by single-cell RNA-seq. Science. 2016;352(6282):189-196. doi:10.1126/science.aad0501."
3,GSE115978 melanoma immunotherapy scRNA-seq paper,A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade,A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade,10.1016/j.cell.2018.09.006,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Jerby-Arnon L, Shah P, Cuoco MS, Rodman C, Su MJ, Melms JC, et al.. A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade. Cell. 2018;175(4):984-997.e24. doi:10.1016/j.cell.2018.09.006."
4,GSE120575 melanoma immune response paper,Defining T Cell States Associated with Response to Checkpoint Immunotherapy in Melanoma,Defining T Cell States Associated with Response to Checkpoint Immunotherapy in Melanoma,10.1016/j.cell.2018.10.038,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Sade-Feldman M, Yizhak K, Bjorgaard SL, Ray JP, de Boer CG, Jenkins RW, et al.. Defining T Cell States Associated with Response to Checkpoint Immunotherapy in Melanoma. Cell. 2018;175(4):998-1013.e20. doi:10.1016/j.cell.2018.10.038."
5,TCGA-SKCM melanoma resource paper,Genomic Classification of Cutaneous Melanoma,Genomic Classification of Cutaneous Melanoma,10.1016/j.cell.2015.05.044,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Akbani R, Akdemir KC, Aksoy BA, Albert M, Ally A, Amin SB, et al.. Genomic Classification of Cutaneous Melanoma. Cell. 2015;161(7):1681-1696. doi:10.1016/j.cell.2015.05.044."
6,cBioPortal resource paper,The cBio cancer genomics portal: an open platform for exploring multidimensional cancer genomics data,The cBio Cancer Genomics Portal: An Open Platform for Exploring Multidimensional Cancer Genomics Data,10.1158/2159-8290.CD-12-0095,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Cerami E, Gao J, Dogrusoz U, Gross BE, Sumer SO, Aksoy BlA, et al.. The cBio Cancer Genomics Portal: An Open Platform for Exploring Multidimensional Cancer Genomics Data. Cancer Discovery. 2012;2(5):401-404. doi:10.1158/2159-8290.cd-12-0095."
7,cBioPortal resource paper,Integrative analysis of complex cancer genomics and clinical profiles using the cBioPortal,Integrative Analysis of Complex Cancer Genomics and Clinical Profiles Using the cBioPortal,10.1126/scisignal.2004088,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Gao J, Aksoy BlA, Dogrusoz U, Dresdner G, Gross B, Sumer SO, et al.. Integrative Analysis of Complex Cancer Genomics and Clinical Profiles Using the cBioPortal. Science Signaling. 2013;6(269). doi:10.1126/scisignal.2004088."
8,DepMap resource paper,Defining a Cancer Dependency Map,Defining a Cancer Dependency Map,10.1016/j.cell.2017.06.010,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Tsherniak A, Vazquez F, Montgomery PG, Weir BA, Kryukov G, Cowley GS, et al.. Defining a Cancer Dependency Map. Cell. 2017;170(3):564-576.e16. doi:10.1016/j.cell.2017.06.010."
9,CCLE resource paper,Next-generation characterization of the Cancer Cell Line Encyclopedia,Next-generation characterization of the Cancer Cell Line Encyclopedia,10.1038/s41586-019-1186-3,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Ghandi M, Huang FW, Jané-Valbuena J, Kryukov GV, Lo CC, McDonald ER, et al.. Next-generation characterization of the Cancer Cell Line Encyclopedia. Nature. 2019;569(7757):503-508. doi:10.1038/s41586-019-1186-3."
10,GDSC resource paper,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells,Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells,10.1093/nar/gks1111,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Yang W, Soares J, Greninger P, Edelman EJ, Lightfoot H, Forbes S, et al.. Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells. Nucleic Acids Research. 2012;41(D1):D955-D961. doi:10.1093/nar/gks1111."
11,GDSC pharmacogenomic landscape paper,A Landscape of Pharmacogenomic Interactions in Cancer,A Landscape of Pharmacogenomic Interactions in Cancer,10.1016/j.cell.2016.06.017,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Iorio F, Knijnenburg TA, Vis DJ, Bignell GR, Menden MP, Schubert M, et al.. A Landscape of Pharmacogenomic Interactions in Cancer. Cell. 2016;166(3):740-754. doi:10.1016/j.cell.2016.06.017."
12,ChEMBL resource paper,ChEMBL: towards direct deposition of bioassay data,ChEMBL: towards direct deposition of bioassay data,10.1093/nar/gky1075,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Mendez D, Gaulton A, Bento APc, Chambers J, De Veij M, Félix E, et al.. ChEMBL: towards direct deposition of bioassay data. Nucleic Acids Research. 2019;47(D1):D930-D940. doi:10.1093/nar/gky1075."
13,Open Targets Platform resource paper,The Open Targets Platform: supporting systematic drug-target identification and prioritisation,Open Targets Platform: supporting systematic drug–target identification and prioritisation,10.1093/nar/gkaa1027,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Ochoa D, Hercules A, Carmona M, Suveges D, Gonzalez-Uriarte A, Malangone C, et al.. Open Targets Platform: supporting systematic drug–target identification and prioritisation. Nucleic Acids Research. 2021;49(D1):D1302-D1310. doi:10.1093/nar/gkaa1027."
14,Melanoma cell-state biology,Toward Minimal Residual Disease-Directed Therapy in Melanoma,Toward Minimal Residual Disease-Directed Therapy in Melanoma,10.1016/j.cell.2018.06.025,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Rambow F, Rogiers A, Marin-Bejar O, Aibar S, Femel J, Dewaele M, et al.. Toward Minimal Residual Disease-Directed Therapy in Melanoma. Cell. 2018;174(4):843-855.e19. doi:10.1016/j.cell.2018.06.025."
15,Melanoma cell-state biology,Multi-stage differentiation defines melanoma subtypes with differential vulnerability to drug-induced iron-dependent oxidative stress,Multi-stage Differentiation Defines Melanoma Subtypes with Differential Vulnerability to Drug-Induced Iron-Dependent Oxidative Stress,10.1016/j.ccell.2018.03.017,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Tsoi J, Robert L, Paraiso K, Galvan C, Sheu KM, Lay J, et al.. Multi-stage Differentiation Defines Melanoma Subtypes with Differential Vulnerability to Drug-Induced Iron-Dependent Oxidative Stress. Cancer Cell. 2018;33(5):890-904.e5. doi:10.1016/j.ccell.2018.03.017."
16,Melanoma cell-state biology,Robust gene expression programs underlie recurrent cell states and phenotype switching in melanoma,Robust gene expression programs underlie recurrent cell states and phenotype switching in melanoma,10.1038/s41556-020-0547-3,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Wouters J, Kalender-Atak Z, Minnoye L, Spanier KI, De Waegeneer M, Bravo González-Blas C, et al.. Robust gene expression programs underlie recurrent cell states and phenotype switching in melanoma. Nature Cell Biology. 2020;22(8):986-998. doi:10.1038/s41556-020-0547-3."
17,HSP90 cancer context,HSP90 and the chaperoning of cancer,HSP90 and the chaperoning of cancer,10.1038/nrc1716,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Whitesell L, Lindquist SL. HSP90 and the chaperoning of cancer. Nature Reviews Cancer. 2005;5(10):761-772. doi:10.1038/nrc1716."
18,HSP90 cancer context,Targeting the dynamic HSP90 complex in cancer,Targeting the dynamic HSP90 complex in cancer,10.1038/nrc2887,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Trepel J, Mollapour M, Giaccone G, Neckers L. Targeting the dynamic HSP90 complex in cancer. Nature Reviews Cancer. 2010;10(8):537-549. doi:10.1038/nrc2887."
19,Single-cell foundation model background,scBERT as a large-scale pretrained deep language model for cell type annotation of single-cell RNA-seq data,scBERT as a large-scale pretrained deep language model for cell type annotation of single-cell RNA-seq data,10.1038/s42256-022-00534-z,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Yang F, Wang W, Wang F, Fang Y, Tang D, Huang J, et al.. scBERT as a large-scale pretrained deep language model for cell type annotation of single-cell RNA-seq data. Nature Machine Intelligence. 2022;4(10):852-866. doi:10.1038/s42256-022-00534-z."
20,Single-cell foundation model background,scGPT: toward building a foundation model for single-cell multi-omics using generative AI,scGPT: toward building a foundation model for single-cell multi-omics using generative AI,10.1038/s41592-024-02201-0,,1.0,verified_crossref_doi,Crossref DOI API,ok,"Cui H, Wang C, Maan H, Pang K, Luo F, Duan N, et al.. scGPT: toward building a foundation model for single-cell multi-omics using generative AI. Nature Methods. 2024;21(8):1470-1480. doi:10.1038/s41592-024-02201-0."
